gene_name,TCGA-09-2044-01,TCGA-13-1505-01,TCGA-25-1319-01,TCGA-25-2397-01
POU5F1B,-4.035,-0.7346,1.3791,-3.0469
PPARA,1.9749,1.2455,1.7141,1.7575
PPARD,3.5387,3.7518,4.6029,3.5035
PPARG,0.24,0.6239,-0.4719,0.0158
PPARGC1A,-6.5064,-3.1714,-6.5064,-9.9658
PPBP,-4.035,-9.9658,-9.9658,-3.816
PPIF,5.797,4.3097,5.1534,5.8851
PPM1A,4.3716,3.5461,3.8136,4.1764
PPM1B,2.9109,3.8491,3.9089,3.2929
PPM1D,2.96,1.6281,2.5536,0.5666
PPP1CA,8.2461,6.9087,7.2826,7.4011
PPP1CB,6.6183,6.3408,6.1767,6.8392
PPP1CC,6.0065,6.7624,6.2367,5.1052
PPP1R12A,2.561,4.3653,3.7248,2.2019
PPP1R12B,1.2209,2.0638,1.614,1.105
PPP1R12C,4.5534,4.5098,3.3979,5.2453
PPP1R1B,6.1113,5.3302,3.8935,2.1925
PPP1R3A,-9.9658,-9.9658,-6.5064,-9.9658
PPP1R3B,-0.6416,1.0007,-1.5522,0.8408
PPP1R3C,-0.6873,1.0503,-0.8084,1.9034
PPP1R3D,0.9716,1.2271,1.334,1.3283
PPP1R3E,1.8722,2.0569,2.2573,3.0654
PPP1R3F,3.2034,0.5955,2.3222,2.7205
PPP2CA,7.4862,5.6082,6.7422,7.0469
PPP2CB,4.8269,4.7704,5.505,5.8563
PPP2R1A,7.3847,6.8768,7.321,7.2677
PPP2R1B,1.0983,2.578,2.043,1.8564
PPP2R2A,4.6866,4.2041,3.6393,4.2472
PPP2R2B,3.1717,0.9268,-1.4699,3.838
PPP2R2C,-1.0262,-1.7322,-2.3884,0.4447
PPP2R2D,4.4216,4.3744,4.4006,4.0756
PPP2R3A,1.9638,1.0293,2.7508,2.1213
PPP2R3B,-3.40675,-3.88505,-3.24725,-3.5937
PPP2R3C,3.8461,3.8095,2.9148,4.0136
PPP2R5A,4.2609,4.0705,3.5947,5.2319
PPP2R5B,3.4384,2.3926,3.5111,2.9319
PPP2R5C,6.2044,5.7947,5.0144,4.7645
PPP2R5D,3.8451,6.0179,4.8555,3.5174
PPP2R5E,4.2289,3.0876,3.2929,2.3308
PPP3CA,2.4198,3.4933,3.0927,3.3061
